~from,~to,~label
3G43RRI3OS,ea25fdbc-f38f-499a-97c8-abcfd9ab6fee,known_device
YZYYST07I6,30533da7-e983-45fb-a952-855ece88b2d4,known_device
0ZTL97SB1S,5b03b3b9-6568-463c-94b1-55f3308b3afa,known_device
T57OF52QFI,faa05d0a-228c-4004-89db-9a95232aa0b0,known_device
6Z0CJSO81M,59d2255b-74a7-4796-ae8f-1038a3126d12,known_device
ZUOP64K057,ac83de1e-16a2-445c-adb1-cb827e1bc502,known_device
ZUOP64K057,5d6c8b09-0ad2-4b15-9e6a-231aaf82e8a5,known_device
PQ8LNVR3QW,3840c2a6-9831-4a9a-b26f-43bc8b3c06cf,known_device
PM4252VCGG,372b9627-22f1-46f4-9aa9-2c2e9fdedd12,known_device
7X166WCWJU,af54b8e8-35f3-426e-b117-3bb4fe43613b,known_device
3TA4D6FXTL,62150e63-0eb2-40ee-b1cf-32603915505e,known_device
66HJWIL09J,e87861a2-2a1a-4447-b452-dabd4dd3eea5,known_device
Q6QYBBFU2P,5d067a5f-dfba-46f6-afd7-299a584aeb5f,known_device
